영화인코드,영화인명,분야,필모리스트
10038689,존 왓츠,감독,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
10000296,가이 리치,감독,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,감독,토이 스토리 4
20209287,남대중,감독,기방도령|위대한 소원
10031641,봉준호,감독,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
20148215,고정욱,조감독,진범|몽타주|흉터|채식주의자|사랑 따윈 필요 없어|독개구리
20148217,고정욱,액션/스턴트팀,와일드 카드
20148216,고정욱,제작팀,달마야 놀자
10090941,히라야마 미호,감독,극장판 엉덩이 탐정: 화려한 사건 수첩
10018162,게리 도버먼,감독,애나벨 집으로
10071639,채드 스타헬스키,배우,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10021926,아리 애스터,감독,미드소마|유전
20135271,강윤성,감독,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
20135280,강윤성,애니메이션팀,유아독존
10066410,로버트 페르난데스,감독,천로역정: 천국을 찾아서
20196179,이정호,배우,독전|신 전래동화|그것만이 내 세상|강철비|남한산성|로마의 휴일|불한당: 나쁜 놈들의 세상|신의 한 수|찌라시: 위험한 소문
20159442,이정호,사운드효과,"여선생2|7년의 밤|여자친구|곤지암|소공녀|여배우는 오늘도|장산범|마리안느와 마가렛|1급기밀|더 테이블|리얼|불한당: 나쁜 놈들의 세상|눈발|조작된 도시|더 킹|가려진 시간|고산자, 대동여지도|최악의 하루|덕혜옹주|인천상륙작전|봉이 김선달|아가씨|두 번째 스물|귀향|협녀, 칼의 기억|암살|개: dog eat dog|4등|나의 절친 악당들|장수상회|화장|쎄시봉|미라클 여행기|빅매치|카트|제보자|우는 남자|좀비스쿨|족구왕|찌라시: 위험한 소문|관능의 법칙|조선미녀삼총사|열한시|동창생|숨바꼭질|더 테러 라이브|전국노래자랑|전설의 주먹|분노의 윤리학|남영동1985|R2B: 리턴투베이스|도둑들|연가시|후궁 : 제왕의 첩|두레소리|시체가 돌아왔다|가비|화차|범죄와의 전쟁: 나쁜놈들 전성시대|페이스메이커|부러진 화살|마이 웨이|오직 그대만|의뢰인|플레이|아이들...|우리에게 떡볶이를 먹을 권리가 있다|청출어람"
20314275,이정호,소품팀,국가부도의 날
20199349,이정호,조명팀,완벽한 타인|반드시 잡는다|미씽: 사라진 여자|나는 야한 여자가 좋다 3|가자! 장미여관으로 3 - 방황|나는 야한 여자가 좋다 2
10057331,이정호,감독,비스트|방황하는 칼날|베스트셀러|용서는 없다|슈퍼맨이었던 사나이|좋지 아니한가|흡혈형사 나도열|령|청풍명월(淸風明月)|마고|물위의 하룻밤
20159443,이정호,음악 믹싱/레코딩,모범생|내 사랑 내 곁에
20294609,이정호,사운드팀,남한산성|두근두근
20217706,이정호,폴리,여선생|엄마친구 2|청춘학당2 기생난입야사|감금의 시간|엄마친구|외출|맛있는 택배
20181659,이정호,각색,석조저택 살인사건|더 폰|간첩
20159373,이정호,제작팀,보안관|라라 선샤인|밤과 낮|스카우트|사랑|소년은 울지 않는다
10009058,닐 조단,감독,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자
10091258,F. 게리 그레이,감독,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10008737,라스 클리브버그,감독,사탄의 인형|폴라로이드
10034380,사이먼 킨버그,,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
10027082,미미 레더,감독,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
10027387,미야자키 하야오,감독,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험
10009032,닐 버거,감독,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트
10012399,덱스터 플레처,배우,로켓맨|잇 로컬|독수리 에디|선샤인 온 리스|와일드 빌|스탠더|록 스탁 앤 2 스모킹 배럴즈|죽어도 좋아
10043421,안소니 루소,감독,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
