Movie_code,Movie_Name,관객수
20196309,스파이더맨: 파 프롬 홈,2163521
20183867,알라딘,938600
20184047,토이 스토리 4,367361
20185353,기방도령,217361
20183782,기생충,145529
20185986,진범,105676
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,100054
20199951,애나벨 집으로,60543
20196655,존 윅 3: 파라벨룸,59459
20192151,미드소마,45182
20198453,롱 리브 더 킹: 목포 영웅,52133
20190273,천로역정: 천국을 찾아서,28574
20182585,비스트,21669
20192591,BIFAN2019 판타스틱 단편 걸작선 1,15200
20192022,마담 싸이코,33309
20196657,맨 인 블랙: 인터내셔널,27263
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,15909
20190466,세상을 바꾼 변호인,14274
19880001,이웃집 토토로,41159
20191401,업사이드,26962
20198291,로켓맨,26252
20184889,어벤져스: 엔드게임,12483
20188941,악인전,65792
20184865,고질라: 킹 오브 몬스터,51710
20199063,빅샤크2: 해저2만리,42785
20188144,0.0MHz,26441
20184082,걸캅스,80436
20199448,어린 의뢰인,43881
20198597,교회오빠,17463
20199822,더 보이,16901
20187981,배심원들,78092
20198598,명탐정 피카츄,45292
20185784,나의 특별한 형제,31643
20198183,뽀로로 극장판 보물섬 대모험,31085
20185384,호텔 뭄바이,24134
20197503,서스페리아,18121
20197147,어글리 돌,13275
20169323,안도 타다오,7440
20183096,생일,22727
20181877,캡틴 마블,12839
20060347,판의 미로 - 오필리아와 세 개의 열쇠,10117
20199736,프렌즈: 둥지탈출,9935
20183454,요로나의 저주,36065
20180825,미성년,31204
20198982,크게 될 놈,28048
19990220,노팅 힐,18539
20176103,돈,10678
20198104,바이스,10115
20185406,헬보이,91667
20182501,왓칭,44296
20198844,아이 엠 마더,31860
20196244,샤잠!,136321
20185352,어스,106340
20197423,공포의 묘지,86527
20183773,장난스런 키스,71764
20198403,파이브 피트,60449
20196025,덤보,83417
20197092,로망,40566
20198146,콜레트,12882
20197846,악질경찰,64847
20175407,우상,37601
20166301,썬키스 패밀리,23812
20197483,1919 유관순,22307
20197283,이스케이프 룸,154892
20197356,라스트 미션,29174
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,23008
20197617,정글북: 마법 원정대,22534
20184574,그린 북,15491
20196601,항거:유관순 이야기,15082
20182530,극한직업,64686
20185881,증인,61859
20177539,사바하,49235
20196723,숲속왕국의 꿀벌 여왕,17796
20180937,더 페이버릿: 여왕의 여자,28592
20177282,리노,16303
20176442,자전차왕 엄복동,14554
20195743,신데렐라:마법 반지의 비밀,14386
20195791,"어쩌다, 결혼",69804
20186261,드래곤 길들이기 3,68042
20188282,알리타: 배틀 엔젤,60860
20195915,해피 데스데이 2 유,104255
20020222,해리포터와 비밀의 방,79301
20185576,콜드 체이싱,78016
20184888,메리 포핀스 리턴즈,69028
20174169,기묘한 가족,203118
